Name, ,Online,Type,Size,>Address,In/Out,User ID,Linked to
LCLS_General.DefaultGlobals.stSys.I_EcatMaster1,,,AMSNETID,6.0,512005.0,Input,0,
L2SI_Vacuum_Library.Global_Variables.g_stSystem.I_EcatMaster1,,,AMSNETID,6.0,529177.0,Input,0,
PRG_DIAGNOSTIC.simHeartbeat,,,UINT,2.0,555428.0,Input,0,
GVL_GATT.fb_FEES_GATT_GPI_111.i_iPRESS_R,,,INT,2.0,561132.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_121.i_iPRESS_R,,,INT,2.0,561220.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_131.i_iPRESS_R,,,INT,2.0,561308.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VGP_80.i_xOpnLS,,,BOOL,1.0,561752.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VGP_80.i_xClsLS,,,BOOL,1.0,561753.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_xDecel,,,BOOL,1.0,561912.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_xAccel,,,BOOL,1.0,561913.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_xRotate,,,BOOL,1.0,561914.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_xNCFault,,,BOOL,1.0,561915.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_xAtSpd,,,BOOL,1.0,561916.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_iRawSpeed,,,INT,2.0,561918.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_xAlarm,,,BOOL,1.0,561920.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_iTempMon,,,INT,2.0,561922.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.i_iCurrentMon,,,INT,2.0,561924.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_xDecel,,,BOOL,1.0,562088.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_xAccel,,,BOOL,1.0,562089.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_xRotate,,,BOOL,1.0,562090.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_xNCFault,,,BOOL,1.0,562091.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_xAtSpd,,,BOOL,1.0,562092.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_iRawSpeed,,,INT,2.0,562094.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_xAlarm,,,BOOL,1.0,562096.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_iTempMon,,,INT,2.0,562098.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.i_iCurrentMon,,,INT,2.0,562100.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_xDecel,,,BOOL,1.0,562264.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_xAccel,,,BOOL,1.0,562265.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_xRotate,,,BOOL,1.0,562266.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_xNCFault,,,BOOL,1.0,562267.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_xAtSpd,,,BOOL,1.0,562268.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_iRawSpeed,,,INT,2.0,562270.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_xAlarm,,,BOOL,1.0,562272.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_iTempMon,,,INT,2.0,562274.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.i_iCurrentMon,,,INT,2.0,562276.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_40.i_xDecel,,,BOOL,1.0,562440.0,Input,0,
