Name, ,Online,Type,Size,>Address,In/Out,User ID,Linked to
GVL_GATT.fb_AT1K0_GAS_VGP_80.q_xOPN_DO,,,BOOL,1.0,561754.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.q_xStart,,,BOOL,1.0,561926.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.q_xStop,,,BOOL,1.0,561927.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.q_xReset,,,BOOL,1.0,561928.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.q_xProtection,,,BOOL,1.0,561929.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.q_xSetSpeed,,,BOOL,1.0,561930.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_10.q_iSpeedSet,,,INT,2.0,561932.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.q_xStart,,,BOOL,1.0,562102.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.q_xStop,,,BOOL,1.0,562103.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.q_xReset,,,BOOL,1.0,562104.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.q_xProtection,,,BOOL,1.0,562105.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.q_xSetSpeed,,,BOOL,1.0,562106.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_20.q_iSpeedSet,,,INT,2.0,562108.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.q_xStart,,,BOOL,1.0,562278.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.q_xStop,,,BOOL,1.0,562279.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.q_xReset,,,BOOL,1.0,562280.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.q_xProtection,,,BOOL,1.0,562281.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.q_xSetSpeed,,,BOOL,1.0,562282.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_30.q_iSpeedSet,,,INT,2.0,562284.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_40.q_xStart,,,BOOL,1.0,562454.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_40.q_xStop,,,BOOL,1.0,562455.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_40.q_xReset,,,BOOL,1.0,562456.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_40.q_xProtection,,,BOOL,1.0,562457.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PTM_40.q_xSetSpeed,,,BOOL,1.0,562458.0,Output,0,
